Episode= 15 , at iteration= 4 , with total reward= -200
Episode= 15 , ends in a number of iterations= 4 , with total reward= -200
Episode= 16 , at iteration= 1 , with total reward= -100
Episode= 16 , at iteration= 1 , with total reward= 0
Episode= 16 , at iteration= 2 , with total reward= -100
Episode= 16 , at iteration= 2 , with total reward= -200
Episode= 16 , at iteration= 3 , with total reward= -100
Episode= 16 , at iteration= 3 , with total reward= -200
Episode= 16 , at iteration= 4 , with total reward= -100
Episode= 16 , at iteration= 4 , with total reward= -200
Episode= 16 , ends in a number of iterations= 4 , with total reward= -200
